ZIP_CODE,Pot_Hole_Count
60629,1174
60630,1101
60608,1081
60618,1081
60639,970
60632,911
60625,894
60638,870
60634,850
60617,846
60628,826
60623,790
60620,768
60641,767
60647,710
60646,699
60612,698
60619,692
60643,661
60652,647
60659,603
60609,598
60622,596
60651,560
60631,551
60614,534
60640,503
60660,495
60655,466
60636,412
60616,402
60656,398
60637,386
60644,376
60657,367
60645,365
60642,356
60613,343
60607,337
60621,301
60624,296
60649,289
60610,232
60707,230
60615,213
60653,168
60605,162
60611,159
60626,153
60633,132
60827,103
60601,84
60661,67
60654,52
60603,34
60604,24
60606,19
60602,12
60666,4
60018,2
60706,1
60635,1
60181,1
